name,neighborhood,address,location_lat,location_lng,days,hours,deals,description,website
"Fonda",chelsea,"189 9th Ave, New York, NY 10011",40.7443,-74.0024,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","4:00 PM - 6:00 PM","$11 appetizers, $7-12 alcoholic beverages, $12 mezcalita","Contemporary Mexican restaurant from Chef Roberto Santibañez",https://fondarestaurant.com/
"The Flatiron Room",chelsea,"37 W 26th St, NY 10010",40.7444,-73.9899,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 6:00 PM","$8 cocktails, $6 beers, $7 wines","Upscale whiskey bar with live jazz and extensive selection",https://theflatironroom.com/
"Upside Down",chelsea,"218 W 23rd St, New York, NY 10011",40.7451,-73.9974,"monday,tuesday,wednesday,thursday","5:00 PM - 8:00 PM","$6 draft beers, $8 wine, $10 specialty cocktails, half-price flatbreads","Casual rooftop bar with great skyline views and outdoor seating",https://upsidedownchelsea.com/
"Cull & Pistol",chelsea,"75 9th Ave, New York, NY 10011",40.7422,-74.0048,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 6:00 PM","Half-priced oysters","Seafood restaurant and oyster bar in Chelsea Market",https://www.cullandpistol.com/
"The Chelsea Bell",chelsea,"316 8th Ave, New York, NY 10001",40.7474,-73.9991,"monday,tuesday,wednesday,thursday","12:00 PM - 7:00 PM","$6 bottled domestic brews, $7 select drafts, $7 cocktails, $9 wine, $11 appetizers","Sports bar with American pub fare and lively atmosphere",https://www.thechelseabell.com/
"The Copper Still",chelsea,"206 7th Ave, New York, NY 10011",40.7434,-73.9970,"monday,tuesday,wednesday,thursday,friday","12:00 PM - 6:00 PM","$10 cocktails, $6 draft beers, under $6 for fries, sliders, popcorn","Cozy Irish pub with whiskey selection and comfort food",https://www.thecopperstillnyc.com/
"Bocca di Bacco",chelsea,"169 9th Ave, New York, NY 10011",40.7432,-74.0020,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","4:00 PM - 7:00 PM","$5 beer, $8 wine, $10 cocktails, $1.50 oysters, meatballs","Upscale Italian restaurant with extensive wine list",https://www.boccadibacconyc.com/
"The Ginger Man",murray_hill,"11 East 36th Street, NY 10016",40.7493,-73.9822,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 craft beer, $6 wine, discounted appetizers","Renowned beer bar with over 70 taps and 160 bottles",https://gingermanny.com/
"Joshua Tree",murray_hill,"513 3rd Avenue, NY 10016",40.7486,-73.9762,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 8:00 PM","$5 beer, $6 wine, $7 well drinks","Popular sports bar and nightlife spot",https://joshuatreenyc.com/
"The Cutting Room",murray_hill,"44 E 32nd St, NY 10016",40.7465,-73.9828,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Iconic music venue with craft cocktails",https://thecuttingroomnyc.com/
"The Churchill Tavern",murray_hill,"45 E 28th St, NY 10016",40.7438,-73.9851,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","British pub with Winston Churchill theme and authentic fare",https://thechurchillny.com/
"The Flying Cock",murray_hill,"497 3rd Ave, NY 10016",40.7481,-73.9766,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 drafts, $7 wines, $8 cocktails","Lively gastropub with craft beer and comfort food",https://theflyingcocknyc.com/
"Cask Bar & Kitchen",murray_hill,"167 E 33rd St, New York, NY 10016",40.7448,-73.9782,"monday,tuesday,wednesday,thursday,friday","3:00 PM - 7:00 PM","Half-price draft beers, $8 wine, $10 cocktails, $8 bar bites","Relaxed neighborhood gastro pub with craft beer focus",https://casknyc.com/
"Barn Joo",union_square,"35 Union Square W, New York, NY 10003",40.7369,-73.9916,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 house wine, $7 select beers, $8 cocktails, half-price bar snacks","Korean gastropub with fusion dishes and K-pop vibes",https://www.barnjoo.com/
"Oscar Wilde",nomad,"45 W 27th St, New York, NY 10001",40.7453,-73.9903,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 select beers, $8 wine, $9 cocktails, $1 oysters, $8 small plates","Victorian-themed bar with the longest bar counter in NYC",https://oscarwildenyc.com/
"Dear Irving",gramercy,"55 Irving Pl, New York, NY 10003",40.7367,-73.9873,"sunday,monday,tuesday,wednesday","5:00 PM - 8:00 PM","$10 signature cocktails, $9 wine, half-price oysters","Upscale cocktail parlor with time-period themed rooms",https://dearirving.com/
"Mermaid Oyster Bar Times Square",times_square,"127 W 43rd St, NY 10036",40.7554,-73.9845,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","4:00 PM - 5:30 PM","$8-$12 drinks, $2 oysters (min 6), $4-$12 snacks","Seafood restaurant with nautical theme and fresh oysters",https://themermaidnyc.com/
"Haven Rooftop",times_square,"132 W 47th St, NY 10036",40.7588,-73.9841,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 beers, $9 wines, $10 cocktails","Rooftop lounge with city views and French-inspired cuisine",https://havenrooftop.com/
"Jimmy's Corner",times_square,"140 W 44th St, NY 10036",40.7567,-73.9849,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 beers, $6 well drinks","Legendary boxing-themed dive bar with affordable drinks",""
"The Long Room",times_square,"120 W 44th St, NY 10036",40.7569,-73.9845,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Sleek pub with extensive beer selection and upscale ambiance",https://thelongroomnyc.com/
"O'Lunney's",times_square,"145 W 45th St, NY 10036",40.7575,-73.9847,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 drafts, $7 wines, $8 cocktails","Traditional Irish pub with hearty food and welcoming atmosphere",https://olunneys.com/
"Dutch Fred's",times_square,"307 W 47th St, New York, NY 10036",40.7605,-73.9886,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","4:00 PM - 7:00 PM","$6 select beers, $8 wines, $10 cocktails, half-price appetizers","Pre-theater cocktail bar with speakeasy atmosphere",https://dutchfredsnyc.com/
"Loreley Beer Garden",lower_east_side,"7 Rivington St, New York, NY 10002",40.7208,-73.9913,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","Happy Hour Daily","$2 off draft beer, $16 one-liter steins, $12 beer flights, $2 off glasses of wine","German-style beer garden with outdoor space",https://www.loreleynyc.com/
"Bar Belly",lower_east_side,"14 Orchard St, New York, NY 10002",40.7167,-73.9906,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","Happy Hour Daily","$1 happy hour oysters","Sleek cocktail lounge with live music and seafood",https://www.barbellynyc.com/
"Jadis",lower_east_side,"42 Rivington St, New York, NY 10002",40.7204,-73.9916,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","Happy Hour Daily","Wines starting at $7, shareable dishes under $10","Cozy wine bar with brick walls and intimate atmosphere",http://jadisnyc.com/
"Bonnie Vee",lower_east_side,"17 Stanton St, New York, NY 10002",40.7222,-73.9926,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","Happy Hour Daily","$11 mimosas, martinis, gimlets, $10 house wines, shareable appetizers","Cocktail bar with backyard garden and vintage decor",https://www.bonnievee.com/
"The Magician",lower_east_side,"118 Rivington St, New York, NY 10002",40.7192,-73.9880,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","Happy Hour Daily","Select well liquor, draft beer, and wines for $6 each","No-frills neighborhood bar with casual vibe",https://www.themagicianbar.com/
"Nurse Bettie",lower_east_side,"106 Norfolk St, New York, NY 10002",40.7192,-73.9866,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","Happy Hour Daily","$6 well drinks and beer, $8 cucumber vodka soda, constant specials","Pinup-themed cocktail bar with burlesque shows",https://nursebettie.com/
"Essex",lower_east_side,"124 Rivington St, New York, NY 10002",40.7192,-73.9872,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","Happy Hour Daily","$8 signature cocktails, beer, wine, and sangria for less, snacks under $10","Contemporary restaurant in historic market building",https://www.essexnyc.com/
"Verlaine",lower_east_side,"110 Rivington St, NY, NY 10002",40.7195,-73.9898,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","5:00 PM - 10:00 PM","Lychee martini for $8, limited drink selection","Sleek lounge with Southeast Asian inspired drinks and food",https://www.verlainenyc.com/
"The Ten Bells",lower_east_side,"247 Broome St, New York, NY 10002",40.7184,-73.9911,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","5:00 PM - 7:00 PM","$1.50 oysters, $8 wines, $6 beers","Rustic wine bar with tapas and natural wines",https://tenbellsnyc.com/
"The Dead Rabbit",financial_district,"30 Water St, New York, NY 10004",40.7034,-74.0108,"monday,tuesday,wednesday,thursday,friday","5:00 PM - 7:00 PM","$8 select cocktails, $6 draft beers, $10 wine, $1 oysters","Award-winning Irish pub with vintage cocktail menu",https://deadrabbitnyc.com/
"BlackTail",financial_district,"22 Battery Pl, New York, NY 10004",40.7041,-74.0173,"tuesday,wednesday,thursday,friday","5:00 PM - 7:00 PM","Half-price daiquiris, $9 beer and shot combo, $10 wine","Cuban-inspired cocktail bar with Prohibition-era theme",https://blacktailnyc.com/
"Mother's Ruin",nolita,"18 Spring St, New York, NY 10012",40.7215,-73.9957,"monday,tuesday,wednesday,thursday,friday","1:00 PM - 7:00 PM","$6 draft beers, $10 frozen drinks, $10 daily punch, half-price wings","Popular neighborhood bar with craft cocktails and comfort food",https://mothersruinnyc.com/
"The Jeffrey",upper_east_side,"311 E 60th St, New York, NY 10022",40.7608,-73.9628,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$1 oysters, $6 draft beers, $10 cocktails, $2 off house wines","Industrial-chic craft beer bar with espresso cafe and outdoor space",https://thejeffreynyc.com/
"The Penrose",upper_east_side,"1590 2nd Ave, New York, NY 10028",40.7740,-73.9495,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","3:00 PM - 7:00 PM","$2 off beer, wine, and well drinks","Hip gastropub with rustic decor and craft beer selection",https://www.penrosebar.com/
"As Is",hells_kitchen,"734 10th Ave, New York, NY 10019",40.7634,-73.9928,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","5:00 PM - 7:00 PM","$9 cocktails, $6-8 craft beer, half-price small plates","Stylish craft beer and cocktail bar with rotating beer selections",https://www.asisnyc.com/
"Skinny Dennis",williamsburg,"152 Metropolitan Ave, Brooklyn, NY 11211",40.7157,-73.9614,"monday,tuesday,wednesday,thursday,friday","12:00 PM - 7:00 PM","Discounted beers and well drinks, $2 Tito's shots on Tuesdays","Honky-tonk bar with live country music and divey ambiance",https://skinnydennis.bar/
"Le Crocodile",williamsburg,"80 Wythe Ave, Brooklyn, NY 11249",40.7219,-73.9582,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 6:00 PM","$2 oysters, $10 spritzes, discounted small plates","Upscale French brasserie with elegant dining room",https://lecrocodile.com/
"Ensenada",williamsburg,"168 Borinquen Pl, Brooklyn, NY 11211",40.7099,-73.9529,"monday,tuesday,wednesday,thursday,friday","5:00 PM - 7:00 PM","$8 margaritas, $6 shrimp tacos","Vibrant taqueria specializing in seafood and Baja cuisine",https://ensenadanyc.com/
"Westlight",williamsburg,"111 N 12th St, Brooklyn, NY 11249",40.7223,-73.9562,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 cocktails, $5 beers, $6 wines","Rooftop bar on 22nd floor with panoramic views of NYC",https://westlightnyc.com/
"The Ides",williamsburg,"80 Wythe Ave, Brooklyn, NY 11249",40.7219,-73.9582,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 6:00 PM","$8 cocktails, $6 beers, $7 wines","Stylish rooftop bar at the Wythe Hotel with Manhattan skyline views",https://wythehotel.com/
"Radegast Hall",williamsburg,"113 N 3rd St, Brooklyn, NY 11249",40.7165,-73.9594,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Authentic Bavarian-style beer hall with live music",https://radegasthall.com/
"The Rookery",bushwick,"425 Troutman St, Brooklyn, NY 11237",40.7059,-73.9236,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 beers, $7 cocktails, $6 wines","British-inspired pub with outdoor patio and craft beer",https://therookerybar.com/
"Maite",bushwick,"159 Central Ave, Brooklyn, NY 11221",40.6985,-73.9350,"monday,tuesday,wednesday,thursday,friday","5:00 PM - 7:00 PM","$8 cocktails, $6 wines, $5 beers","Intimate Basque-influenced restaurant with creative cocktails",https://maitebk.com/
"Left Hand Path",bushwick,"89 Wyckoff Ave, Brooklyn, NY 11237",40.7057,-73.9169,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Chic cocktail bar with outdoor space and cozy atmosphere",https://lefthandpathbk.com/
"The Johnson's",bushwick,"369 Troutman St, Brooklyn, NY 11237",40.7058,-73.9229,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Retro dive bar with 1970s decor and pool table",https://thejohnsonsbar.com/
"The Cobra Club",bushwick,"6 Wyckoff Ave, Brooklyn, NY 11237",40.7065,-73.9221,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Multi-purpose space with yoga studio, coffee shop, and bar",https://thecobraclub.com/
"Siren Oyster Bar",park_slope,"596 5th Ave, Brooklyn, NY 11215",40.6661,-73.9885,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 6:00 PM","$1.50 oysters, $8 wines, $6 beers","Seafood-focused restaurant with raw bar and craft cocktails",https://sirenoysterbar.com/
"The Owl Farm",park_slope,"297 7th St, Brooklyn, NY 11215",40.6724,-73.9831,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 select drafts, $7 wines","Eclectic beer bar with rotating taps and pinball machines",https://theowlfarm.com/
"The Gate",park_slope,"321 5th Ave, Brooklyn, NY 11215",40.6731,-73.9818,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Neighborhood pub with dog-friendly outdoor seating",https://thegatebrooklyn.com/